آباد;adjectives‎;(-âbâd)#Forms names of towns and populated or inhabited areas.
آبادان;adjectives‎;cultivated or inhabited placecultivated, inhabitedAbadan (a city in Iran)
آبزی;adjectives‎;marine, Living in wateraquatic
آبستن;adjectives‎;pregnant, Synonyms: حامله‎ (hâmele), باردار‎ (bârdâr)
آبی;adjectives‎;(âbi)#(literary) quince
آتش‌زا;adjectives‎;incendiary
آتی;adjectives‎;coming, subsequent, در بیت‌های آتی, Dar beyt-hā-ye āti., In the following verses.
آخر;adjectives‎;(âxar)#endRelated
آذربایجانی;adjectives‎;Azerbaijani, AzeriAzerbaijani, Azeri (person), Azerbaijani, Azeri (language)
آذری;adjectives‎;Azerbaijani, AzeriAzerbaijani, Azeri (person), Azerbaijani, Azeri (language)
آرام;adjectives‎;(ârâm)#A female or male given name, Aram.Related
آرامی;adjectives‎;calmAramaicAramaic
آرزومند;adjectives‎;wishful, desirous; eager, fond, greedy; covetous
آروم;adjectives‎;(colloquial-un) Spoken form of آرام‎ (ârâm).
آریایی;adjectives‎;AryanAryan
آزاد;adjectives‎;(âzâd)#free#looseDescendantsEdit#Tajik: озод (ozod).mw-parser-output .desc-arr[title]{cursor:help}.mw-parser-output .desc-arr[title="uncertain"]{font-size:.7em;vertical-align:super}→ Uzbek: ozod#→ Azerbaijani: azad#→ Crimean Tatar: azat#→ Kazakh: азат (azat)#→ Gagauz: azat#→ Hindustani:#Hindi: आज़ाद (āzād)#Urdu: آزاد‎ (āzād)#→ Kurdish:#Central Kurdish: ئازاد‎ (azad)#Northern Kurdish: azad#→ Ottoman Turkish: آزاد‎ (azad)Turkish: azat#→ Greek: αζάτι (azáti)#→ Sindhi: آزاد‎ (āzād)#→ Tatar: азат (azat)#→ Turkmen: azat
آزموده;adjectives‎;experienced, tried, tested
آسان;adjectives‎;(âsân) (comparative آسان‌تر‎, superlative آسان‌ترین‎)#easy#Synonyms: ساده‎ (sâde), راحت‎ (râhat), خوار‎ (xwâr), سهل‎ (sahl)#Antonyms: سخت‎ (saxt), دشوار‎ (došvâr)#‏آیا فکر می‌کنید که کردی از فارسی آسان‌تر است؟‎‎ (literary)âyâ fekr mi-konid ke kordi az fârsi âsân-tar astDo you think Kurdish is easier than Persian?#‏فک می‌کنین که کردی از فارسی آسون‌تره؟‎‎ (colloquial)fek mi-konin ke kordi az fârsi âsun-tar eDo you think Kurdish is easier than Persian?
آسیایی;adjectives‎;Asiatic
آشامیدنی;adjectives‎;potable, ‏آب آشامیدنی‎ ― âb-e âšâmidani ― potable waterdrink
آشفته;adjectives‎;disturbed, distressed, disquieted, flustered, upset, troubled
آشنا;adjectives‎;acquaintedacquaintance
آفتابی;adjectives‎;sunny
آل;adjectives‎;(âl)#(in compounds) bright red, red, scarlet
آلفته;adjectives‎;enamored, confused, slow (in Bukharan Persian)
آلمانی;adjectives‎;(âlmâni)#GermanRelated
آماده;adjectives‎;ready
آمریکایی;adjectives‎;AmericanAmerican, ‏فوتبال آمریکایی‎‎ ― futbâl âmrikâyi ― American football
آمیخته;adjectives‎;compound, motleycompound
آهسته;adjectives‎;(archaic) calm, reserved, 10th-century, unknown author, Hudud al-'Alam:, ‏اوهر شهرکیست به بر کوه نهاده و با آبهای بسیار، جائی بسیار کشت و مردمانی آهسته.‎‎Owhar(?) is a small town on mountain's foot with many waters, a place with many fields and calm people., quiet (of sound), slowsoftly, gently, slowly
آهنگین;adjectives‎;musical, melodic
آهنی;adjectives‎;iron, ferrous (attributive adjective)
آوازی;adjectives‎;vocal
آویزان;adjectives‎;hanging; hung (in a suspended, dangling position)
آویزون;adjectives‎;(colloquial-un) Spoken form of آویزان‎ (âvizân).
آچمز;adjectives‎;(dialectal, mostly Tehran, chess) pinned
آگاه;adjectives‎;aware, knowing
آینده;adjectives‎;futurefuture
ابدی;adjectives‎;(abadi)#eternal#immortalRelated
ابری;adjectives‎;(abri) (comparative ابری‌تر‎, superlative ابری‌ترین‎)#cloudy#made using or related to the ebru technique#‏کاغذ ابری‎ ― kâğaz-e abri ― marbled paper#‏نقش ابری‎ ― baqš-e abri ― ebru pattern#‏مایع ابری‎ ― mâye'-e abri ― the liquid substance used in ebru techniqueDerived
ابله;adjectives‎;dumb, stupid, feeble-mindedan idiot, fool, feeble-minded person.
ابیشه;adjectives‎;(obsolete) furtive
اتمی;adjectives‎;atomic
اجتماعی;adjectives‎;social, companionable
اجمالی;adjectives‎;(ijmālī)#brief#succinct#abridged
اجنبی;adjectives‎;(ajnabi) (plural اجانب‎ (ajâneb))#stranger#foreigner
احمق;adjectives‎;(ahmaq) (comparative احمق‌تر‎, superlative احمق‌ترین‎)#idiotic, foolish, stupidInflectionEdit#Predicative forms of احمق (ahmaq)##singular#plural#1st person(“I am/we are”)#احمقم (ahmaqam)#احمقیم (ahmaqim)#2nd person(“you are”)#احمقی (ahmaqi)#احمقید (ahmaqid)احمقین△ (ahmaqin)#3rd person(“he, she, it is/they are”)#احمق است (ahmaq ast) احمقه△ (ahmaqe)#احمقند (ahmaqand) احمقن△ (ahmaqan)#△ Colloquial.#Derived
اختری;adjectives‎;stellar
اختیاری;adjectives‎;(extiâri)#optional
اخلاقی;adjectives‎;(axlâqi)#moral
اخیر;adjectives‎;(axir)#recent#last#lateRelated
ادبی;adjectives‎;(adabi)#literaryDerived
ادراری;adjectives‎;urinary
ارتجاعی;adjectives‎;elastic
ارتدکس;adjectives‎;orthodox, (Christianity) Orthodox, (Judaism) Orthodox
اردو;adjectives‎;(ordu)#UrduRelated
ارزان;adjectives‎;(arzân) (comparative ارزان‌تر‎, superlative ارزان‌ترین‎)#cheap, inexpensive
ارزشمند;adjectives‎;valuable
ارغه;adjectives‎;shrewd, cunning
ارغوانی;adjectives‎;(arğavâni)#colour of the blossom of Cercis siliquastrum (Judas tree)#amethystine (colour)#mauve#purple
ارمنی;adjectives‎;(Armani) (plural ارمنیان‎ (Armaniyân) or ارمنی‌ها‎ (Armani-hâ) or ارامنه‎ (Arâmane))#(countable) Armenian (person)#(uncountable) Armenian (language)Related
اروپایی;adjectives‎;European, ‏کشورهای اروپایی‎ ― kešvar-hâ-ye orupâyi ― European countriesEuropean (person)
اریب;adjectives‎;oblique, diagonal
ازبک;adjectives‎;UzbekUzbek
ازبکی;adjectives‎;UzbekUzbek
ازناور;adjectives‎;noble
اسبی;adjectives‎;equine
استاد;adjectives‎;(ostâd) (plural استادان‎ (ostâdân) or استادها‎ (ostâd-hâ) or اساتید‎ (asâtid))#master (an expert at something; a tradesman who is qualified to teach apprentices; a skilled artist)#ustad#(archaic) tutor#a senior craftsman#expert#professor (a teacher or faculty member at a college or university regardless of formal rank)Derived
استادانه;adjectives‎;scholarly, masterfully, expertly, in a manner like that of a professor
استخوانی;adjectives‎;bony, osseous
استمراری;adjectives‎;continuous, progressive
اسرائیلی;adjectives‎;IsraeliIsraeli
اسلامی;adjectives‎;Islamic
اسلاوی;adjectives‎;Slavic
اسپانیایی;adjectives‎;Spanish
اسپانیولی;adjectives‎;Spanish (language)Spaniard
اسکاتلندی;adjectives‎;Scottish
اسکی;adjectives‎;ski, skiingold, ancient (of objects)
اشتباهی;adjectives‎;erroneous
اصفهانی;adjectives‎;IsfahaniIsfahani
اصل;adjectives‎;(asl) (plural اصول‎ (osul) or اصل‌ها‎ (asl-hâ))#origin, source#foundation#principle#tenetRelated
اصلی;adjectives‎;(asli) (comparative اصلی‌تر‎, superlative اصلی‌ترین‎)#main#original#fundamental#basic#innate#essential#real#true
اصیل;adjectives‎;(asīl)#original
اضافه;adjectives‎;extraaddition, increase, (grammar) the act of linking words with the ezafe grammatical particle, (grammar) ezafe
افسرده;adjectives‎;depressed
افقی;adjectives‎;horizontal
افلاطونی;adjectives‎;Platonic, having to do with Plato and his views, platonic, non-sexual
اقتصادی;adjectives‎;(eqtesâdi)#economic#economical, frugalRelated
اقیانوسی;adjectives‎;oceanic
الاستیک;adjectives‎;elastic
المزده;adjectives‎;heartbroken
الموتی;adjectives‎;of or pertaining to Alamut (castle or region)Nizari Ismaili (person)A  surname​, Alamouti, Alamooti.
الکلی;adjectives‎;alcoholicalcoholic
امن;adjectives‎;(amn) (comparative امن‌تر‎, superlative امن‌ترین‎)#secure; safe, especially against attacks, crime, etc.#Synonym: ایمن‎ (imen) (more with accidents, hazards)#Antonym: خطرناک‎ (xatarnâk)Derived
اموی;adjectives‎;Umayyad
امپراتوری;adjectives‎;imperialempire
امیدوار;adjectives‎;hopeful
امین;adjectives‎;honest, trustworthy, credible, reliablerepresentative
انبارده;adjectives‎;filled, full, replete, affluent, rich
انبوه;adjectives‎;mass, heap, crowdthick, dense (densely crowded or packed), aggregate, gross ^  L. G. Herzenberg, Studies in Persian Etymology I., , 
انتحاری;adjectives‎;suicidal, relating to suicidesuicide bomber
انتفاعی;adjectives‎;for profit
انر;adjectives‎;(Iran) horrible
انسانی;adjectives‎;(ensâni)#human#humane
انفجاری;adjectives‎;explosive
انقلابی;adjectives‎;revolutionaryrevolutionary (a person who revolts)
انوشه;adjectives‎;immortalA male or female given name, Anousheh, Anooshe, or Anoosheh, from Middle Persian.
انیر;adjectives‎;(less common) Alternative form of انر‎(historical) non-Aryan, non-Iranian
اهریمنی;adjectives‎;Ahrimanic, diabolical, devilish
اوستایی;adjectives‎;Avestan
اوسن;adjectives‎;(dialectal, Khesht, Konartakhteh) pregnant
اولی;adjectives‎;(avvali)#the former, the first
اولین;adjectives‎;first, Synonym: اول‎ (avval)
اوکراینی;adjectives‎;UkrainianUkrainian
اوکی;adjectives‎;Used to indicate acknowledgement or acceptance., Used as a sentence introduction.Approval, acceptance.Alright, fine., Satisfactory., Appropriate., Compatible.Properly, appropriately.
اوگاریتی;adjectives‎;Ugaritic
اکبر;adjectives‎;greater, greatest, الله اکبر‎ (allâhu akbar) — God is Great
