آئین;nouns‎;(āīn) m (cआईन) #constitution
آئینہ;nouns‎;mirror
آب;nouns‎;(āb) m (cआब)#water#liquid#sparkleRelated
آب حیات;nouns‎;(āb-i hayāt) ?#lit. water of life, elixir of life
آب و ہوا;nouns‎;weather, climate, water and air (literally)
آبادانی;nouns‎;(ābādānī) f#development#improvement#advancement#prosperity#populousness#civilization
آبادی;nouns‎;(ābādī) f (cआबादी)#population#populousness#village#town#prosperity
آبشار;nouns‎;(ābśār) f (cआबशार)#waterfall#cascade
آتش;nouns‎;(ātiś) f (cआतिश)#fire#flame#anger#rage
آتما;nouns‎;soul, spirit, ghost
آتنکوادی;nouns‎;terrorist, Synonym: دہشت گردی‎
آتپ;nouns‎;(literary) sunshine, sunlight, sunbeam, (literary) heat (of the sun)
آج;nouns‎;(āj) m (cआज)#today
آخر;nouns‎;(āxir) m (cआख़िर)#end
آخرت;nouns‎;(āxirat) f (cआख़िरत)#(Islam) akhirah
آدا;nouns‎;(ādā) m (cआदा)#(green) ginger
آداب;nouns‎;(ādāb) ? (cआदाब)#plural of ادب‎#greetings#etiquette#salutation#politeness#respects
آدر;nouns‎;(ādar) m (cआदर)#honor, esteem#deference, reverence, homage#admiration, compliment
آدم;nouns‎;(ādam) m (cआदम)#(religion) Adam#A male given name, AdamRelated
آدمی;nouns‎;a human being, man, individual, person, A descendant of Adam
آدھی رات;nouns‎;midnight
آرام;nouns‎;(ārām) m (cआराम)#rest#comfort#leisureSee alsoEdit#آرام کرنا‎ (ārām karnā)#آرام دینا‎ (ārām denā)
آربل;nouns‎;life, age
آرزو;nouns‎;(ārzū) f (cआरज़ू)#wish#desire#aspiration#longing
آرمبھ;nouns‎;beginning, commencement
آزادی;nouns‎;(āzādī) f (cआज़ादी)#freedom#liberty#independence#liberation
آزمائیش;nouns‎;test, trial, examination, experiment
آزمودگی;nouns‎;(āzmūdagī) f#experienceRelated
آس;nouns‎;(ās) f (cआस)#longing#hope
آسانی;nouns‎;(āsānī) f (cआसानी)#easeRelated
آستین;nouns‎;(āstīn) f (cआस्तीन)#sleeveDeclensionEdit#Declension of آستین##singular#plural#direct#آستین‎ (āstīn)#آستینیں‎ (āstīnẽ)#oblique#آستین‎ (āstīn)#آستینوں‎ (āstīnõ)#vocative#آستین‎ (āstīn)#آستینو‎ (āstīno)#
آسرا;nouns‎;shelter, haven, asylum, retreat, support, safeguard
آسمان;nouns‎;(āsmān) m (cआसमान)#sky
آسنکا;nouns‎;doubt, uncertainty, fear
آشا;nouns‎;hope, wish, desire, longing
آشچریہ;nouns‎;amazing, astonishingsurprise, amazement, wonder
آشیرواد;nouns‎;blessing, benediction, salutation, felicity, greeting
آغا;nouns‎;(āġā) m (cआग़ा)#Mr.#sir, gentleman#master#owner#lord
آفت;nouns‎;(āfat) f (cआफ़त)#calamity#plague#adversity#catastrophe#disaster
آفریدی;nouns‎;Afridi
آقا;nouns‎;(āqā) m (cआक़ा)#Mr.#sir, gentleman#master#owner#lord
آلات عبادت;nouns‎;prayer wheel
آلو;nouns‎;(ālū) m (cआलू)#plum, prune
آلودگی;nouns‎;(ālūdagī) f (cआलूदगी)#pollution#contamination
آلوک;nouns‎;sight, appearance, light, flattery
آم;nouns‎;(ām) m (cआम)#rawness
آموزش;nouns‎;(āmoziš) f (cआमोज़िश)#learning
آمیزش;nouns‎;(āmeziś) f (cआमेज़िश)#mixture, amalgamation#Synonym: ملاوٹ‎ (milāvaṭ)#intercourse
آندھی;nouns‎;storm, tempest, cyclone, whirlwind, ‏آندھی جھٹ سے ختم ہو جاے گی۔‎‎The storm will be over very quickly.
آنسو;nouns‎;tear(s) (usually plural), ‏اس کی آنکھوں میں آنسو بھر آئے۔‎‎Her eyes were filled with tears.
آنند;nouns‎;pleasure, happiness, joy, enjoyment, fun
آنکھ;nouns‎;(anatomy) eye, sight, glance, look, regard
آنگن;nouns‎;(āṅgan) m (cआंगन or आँगन‎)#courtyard, backyard#yard#quad#patio#court
آوارہ;nouns‎;wandering, vagrant, abandoned, strayloafer, wanderer, vagabond
آواز;nouns‎;(āvāz) f (cआवाज़)#sound, noise#voice#call, cry#report, fame#rumor, innuendo
آواس;nouns‎;abode, residence, housing, house, habitation
آٹا;nouns‎;(āṭā) m (cआटा)#flour#meal#powder#dust
آچار;nouns‎;(ācār) m (cआचार)#(rare) pickle
آچاریہ;nouns‎;(Hinduism, Buddhism) teacher, scholar
آچھال چھکا;nouns‎;quean
آڑو;nouns‎;peach (fruit)
آکاش;nouns‎;(ākāś) m (cआकाश)#sky#Synonyms: آسمان‎ (āsmān), گگن‎ (gagan)#air
آکرمن;nouns‎;attack, assault
آگ;nouns‎;fire, flame, anger, rage
آگ سے بپتسمہ;nouns‎;baptism by fire
آگرہ;nouns‎;seizing, surpassing, patronage, pertinacity, power
آہنگ;nouns‎;tune, melody, song, sound, design, purpose, method
آیا;nouns‎;(āyā) (cआया)#masculine singular perfect adjectival of آنا‎: came, arrived
آیو;nouns‎;age, duration or period of a lifetime
أبطال;nouns‎;(abtāl) ?#nullification
اب;nouns‎;(ib)  Hindi spelling: इब (ib)#thus#asSee alsoEdit#او‎ (iv)
ابابیل;nouns‎;swallow, (Islam) ababil
ابال;nouns‎;boil, boiling, coction, anger, rage
ابال پتھر;nouns‎;zeolite
ابتدا;nouns‎;(ibtida) f (cइब्तिदा)#initiation, threshold, beginning, commencement, inception, inchoation, start, genesis, rudiment.
ابتدائی حروف;nouns‎;initials
ابتری;nouns‎;huddle, decline, irregularity
ابتسام;nouns‎;(ibtesām) m#smile
ابتلا;nouns‎;infestation, misfortune, suffering, trial, ordeal
ابد;nouns‎;(abad) ?#eternity
ابداع;nouns‎;novelty
ابر;nouns‎;(abar)  Hindi spelling: अबर (abar)#now
ابر آلودگی;nouns‎;nubecula
ابرق;nouns‎;(abraq) ?#mica.
ابرنجن;nouns‎;(abranjan) m (cअब्रंजन)#bracelet#anklet
ابرنجین;nouns‎;(abranjīn) m (cअब्रंजीन)#bracelet#anklet
ابرو;nouns‎;(abrū) f (cअब्रू)#eyebrow
ابریق;nouns‎;(ibrīq) m (cइब्रीक़)#ewer, ibrik, pitcher
ابصار;nouns‎;eyes vision
ابلاغ رسمی;nouns‎;communique
ابلق;nouns‎;dappled, piebaldpinto
ابلہ;nouns‎;dolt, idiotic, oafishhalfwit, numbskull, numskull, oaf, blockhead
ابلیس;nouns‎;(iblis) m#Old Nick
ابن آدم;nouns‎;(Christianity) Son of Man, human
ابن اللہ;nouns‎;God the Son, Synonym: خدا بیٹا‎ (xudā beṭā)
ابن الوقت;nouns‎;unprincipledopportunist
ابن الوقتی;nouns‎;opportunisticopportunism, ‏ابن الوقتی سے‎ ― ibn-ul-vaqtī se ― opportunistically
ابهار;nouns‎;emergence, development, budding
ابو;nouns‎;(abbū) m (cअब्बू)#(colloquial, familiar) father#(informal) dad, daddy
ابٹن;nouns‎;unction
ابکائی;nouns‎;retch, nausea
ابھار;nouns‎;burl, knap, knurl, monticule, mount, node
ابھاو;nouns‎;death, not being, non-existence, absence, want, failure, destructionnon-existent, extinct, annihilated
ابھرواں تختی;nouns‎;relief
ابھلاش;nouns‎;desire, longing, love, passion
ابھلاشا;nouns‎;desire, longing, love, passion
ابھمان;nouns‎;arrogance, pride, haughtiness
ابہام;nouns‎;indefiniteness, haze, muddiness, uncertainness, obscurity, vagueness
اتا;nouns‎;(atā) m#father
اتار;nouns‎;descent, decline, downhill, decrease, decay, wane, landing place, antidote
اتالیق;nouns‎;mentor
اتاپتہ;nouns‎;whereabouts
اتتهہ;nouns‎;guest, stranger, a person entitled to hospitality
