language;amount
Русский_язык;435981
Украинский_язык;94168
Английский_язык;48877
Немецкий_язык;43866
Французский_язык;25815
Пали;24624
Турецкий_язык;22767
Интерлингва;18899
Финский_язык;18051
Белорусский_язык;17192
Казахский_язык;16608
Латинский_язык;15438
Татарский_язык;12793
Сербский_язык;11679
Арабский_язык;11486
Итальянский_язык;10520
Испанский_язык;9641
Эсперанто;8861
Польский_язык;8824
Чешский_язык;8047
Венгерский_язык;7999
Идо;7855
Санскрит;7236
Португальский_язык;7231
Нидерландский_язык;6519
Иврит;6488
Греческий_язык;6396
Таджикский_язык;6164
Шведский_язык;6139
Японский_язык;6025
Латышский_язык;5886
Армянский_язык;5457
Болгарский_язык;5363
Кхмерский_язык;5276
Гуаньхуа;5229
Норвежский_язык;4753
Датский_язык;4233
Хорватский_язык;4216
Каталанский_язык;4213
Румынский_язык;4134
Древнегреческий_язык;4122
Литовский_язык;4105
Эстонский_язык;4029
Грузинский_язык;3926
Македонский_язык;3831
Словацкий_язык;3759
Персидский_язык;3662
Башкирский_язык;3522
Хинди;3341
Корейский_язык;3215
Идиш;3182
Словенский_язык;2811
Исландский_язык;2798
Узбекский_язык;2762
Галисийский_язык;2673
Курдский_язык;2650
Якутский_язык;2562
Бирманский_язык;2518
Албанский_язык;2507
Туркменский_язык;2475
Азербайджанский_язык;2456
Осетинский_язык;2428
Индонезийский_язык;2403
Готский_язык;2146
Ирландский_язык;2021
Киргизский_язык;2013
Баскский_язык;1948
Африкаанс;1864
Северносаамский_язык;1831
Калмыцкий_язык;1772
Крымскотатарский_язык;1697
Монгольский_язык;1694
Тайский_язык;1688
Эвенкийский_язык;1636
Караимский_язык;1635
Коптский_язык;1628
Валлийский_язык;1584
Чувашский_язык;1457
Окситанский_язык;1428
Астурийский_язык;1399
Боснийский_язык;1351
Бретонский_язык;1340
Амхарский_язык;1321
Мокшанский_язык;1316
Фарерский_язык;1297
Сингальский_язык;1277
Суахили;1239
Кумыкский_язык;1201
Тагальский_язык;1175
Бенгальский_язык;1166
Тувинский_язык;1164
Телугу;1148
Малайский_язык;1115
Марийский_язык;1115
Фризский_язык;1077
Гэльский (шотландский) язык;1076
Удмуртский_язык;1066
Фриульский_язык;1058
Тамильский_язык;1057
Чеченский_язык;1049
Эрзянский_язык;1048
Лаосский_язык;1029
Бурятский_язык;1013
Лезгинский_язык;1009
Латгальский_язык;955
Тибетский_язык;935
Сицилийский_язык;870
Урду;855
Малаялам;833
Крымчакский_язык;826
Коми-пермяцкий_язык;814
Старофранцузский_язык;808
Каннада;800
Вьетнамский_язык;798
Лимбургский_язык;782
Малагасийский_язык;776
Вепсский_язык;773
Люксембургский_язык;754
