acha;топор
achachi;дед, дедушка (отец отца или матери)
achaku;зоол. мышь (mus)
achkatasiri;физ. магнит
ahsaraña;страх
ajanu;анат. лицо (передняя часть головы)
ajarankhu;зоол. скорпион
ajlliña;выбирать
ajusa;ботан. чеснок (Allium sativum)
alaña;купить (покупать)
alaxpacha;небо
ali;но, однако
allqa;серый
ampara;анат. рука
anata;неуклонный ?
anataña;игрушка
anta;предполагать
aruma;ночь
arxatiri;адвокат
Asirbayjan;Азербайджан
asiru;сталь
atamarapiri;адвокат
ati;анат. спина
atiniña;свобода
auk’a;враг
Austriya;Австрия
autipacha;зима
awki;отец, папа
Biblia;религ. Библия
Busña Hirsikuwina;Босния и Герцеговина
caratacu;осень
catuña;ботан. манго (Mangifera)
ch'ijma;подушка
ch'ipuqu;бровь
ch'ixi;серый
ch'iyara;чёрный
ch'uspi;зоол. комар
ch'utu;зоол. осёл, ишак (Equus asinus asinus)
ch’alla;песок
ch’iqa;анат. крыло
ch’uxña;зелёный
chacha;детск. няня; нянька
chaka;мост
challwa;рыба
chara;анат. нога (ступня)
chawu;весло
chhaqachhaqa;горизонт
chhaqha;терять
chhijchhi;метеорол. град
chhixwiriri;зоол. стрекоза
chhujchhu;мед. малярия
chhullunkhaya;лёд
chhuxri;мед. гематома
chichillanka;зоол. муха
chichu;январь
chikama;весы
chikäruma;полночь
chinkana;спелеол. пещера
chinu;бант
chinuka;понедельник
chupika;красный
chuyma;анат. сердце
geografiya;география
hishkiña;вопрос
hiwasa;мы
huayronqo;энтомол. пчела
Hunkariya;Венгрия
ijma;вдова
illpa;анат. висок
inlish;английский
Inti;Солнце
ipasi;племянница
Iqiptu;Египет
Iskusiya;Шотландия
Ispaña;Испания
Itiwpiya;Эфиопия
Iwrupa;геогр. Европа
jach’a;большой
jakhuqawi;матем. вычитание
jallmu;глотать
jallpi;лизать
jallu;метеорол. дождь
jallupacha;лето
jamach'i;птица
jamak’u;зоол. клещ
jamatanqa;энтомол. жук
jamp'atu;зоол. жаба
janq’u;белый
jansutini;анонимный
jaqi;человек
jarawi;песня
jaririnkhu;зоол. ящерица
jaru;горький
jawira;река
jawuna;мыло
jaxsa;страх
jaxu;горький
jayp'u;вечер
jayu;соль
jichhuru;сегодня
jikhina;анат. спина
jilata;брат
jinchu;ухо
jisk'a;маленький, малый
jiwq'i;дым
jucha;религ. грех
juku;орнитол. сова
junt’uma;чай
juqhu;болото
juyphipacha;зима
juywisa;четверг
k'achi;анат. зуб
k'aphu;солома
k'isa;цвет
k'uti;зоол. блоха (Pulex)
k’awna;яйцо
k’ayra;зоол. лягушка
kampana;колокол
kaphiya;кофе
khariña;нож
kharkhati;физиол. конвульсия; судорога
khuchuña;ножницы
khunu;снег
kimsa;три
kimsapataka;триста
kimsaqallqüri;восьмой
kimsïri;третий
kirkiña;петь
kisimiri;муравей
kisu;нож
kkura;трава
kullaka;сестра (дочь тех же родителей)
kullalla;сестра (дочь тех же родителей)
Kuluwya;Колумбия
kupi;правый
kurumi;радуга
kusikusi;зоол. паук
laca;лак
lak’u;зоол. червь, червяк
lakhampu;небо
lapaka;болтун
laphi;ботан. лист
lapisa;карандаш
lapʼa;зоол. вошь
lari;лари (денежная единица Грузии)
laxra;язык (мышечный орган)
layulayu;ботан. клевер
lirpu;зеркало
llamayu;апрель
llätunka;девять
llätunkïri;девятый
llawi;ключ
llilli;мед. рана
llumpaqa;август
lluqu;анат. сердце
luk’ana;анат. палец
lup'intawi;философия
luqa;метрополитен, метро
luraña;строить; делать
lyona;зоол. лев (Panthera leo)
malla;борец
mallki;растение
mallku;мед. корь
mallq'a;анат. пищевод
mamani;орнитол. сокол
mamuraya;энтомол. пчела
mañasu;мясник
manq'ayaña;есть, кушать
mara;морской
mayïri;первый
maymuru;анат. почка
micha;свеча
michi;стрела
millk’i;молоко
mirkurisa;среда (день недели)
misk'i;сладкий
misk’i;мёд
mitala;металл
mujina;геометр. треугольник
mujlli;анат. локоть
muruqu;круглый
muxsa;сахар
nasa;нос
naya;метод, план, правильный вывод
nayra;глаз
Nikarwa;Никарагуа
ninanina;зоол. оса
ñuqiña;весло
Nurweka;Норвегия
p'iqi;анат. голова
pacha;истор. паша
paka;зоол. кошка
panka;книга
paqalqu;семь
pataka;сто
paya;молоко
payïri;второй
phantta;рубаха, рубашка
phaqhalli;цветок
phaxsi;месяц
