يبس - высыхать
يتم - осиротеть
يرع - бояться
يسر - облегчать
يقظ - бодрствовать
يمن - быть счастливым
آب;существительное;вода
آتٍ;прилагательное;будущий, наступающий; следующий
آثار;существительное;артефакт
آثارىّ;существительное;археологический
آثاري;существительное;археолог
آثر;глагол;предпочитать, выбирать
آجر;глагол;сдавать внаём, сдавать в аренду
آجرة;существительное;кирпич
آخذ;глагол;порицать, осуждать
آخر;прилагательное;другой, второй, последний
آخَر;прилагательное;противоположный
آخرة;существительное;конец, загробная жизнь
آدم;существительное;человек
آدمىّ;прилагательное;человеческий
آذار;существительное;март
آذى;существительное;мучить
آزر;глагол;помогать, содействовать
آسف;глагол;огорчать, печалить
آسن;существительное;хим. железо
آسى;глагол;соболезновать
آشور;существительное;Ассирия
آشوربانيبال;существительное;Ашшурбанипал
آفة;существительное;беда; бедствие, бич
آل;существительное;семья
آل ثاني;существительное;Аль Тани, династия эмиров Катара
آل خليفة;существительное;Аль-Халифа, династия эмиров Бахрейна
آل صباح;существительное;Аль Сабах, династия эмиров Кувейта
آل عمران;существительное;Аль Имран (3-я сура Корана)
آلة;существительное;орудие, инструмент
آلة الزمن;топоним;машина времени
آلة موسيقية;топоним;музыкальный инструмент
آلّذى;местоимение;который
آلسّبت;существительное;суббота
آلف;глагол;дружить
آلم;глагол;причинять боль, причинять страдания
آلىّ;прилагательное;машинный; механизированный
آليّة;существительное;механизм
آمن;глагол;верить
آمين;глагол;аминь
آن;существительное;время
آنس;глагол;радовать
آنسة;существительное;девушка
آنف;прилагательное;недавний
آنفا;существительное;Анфа (Касабланка)
آنىّ;прилагательное;текущий; своевременный; злободневный
آه;междометие;ох!
آهة;существительное;вздох
آوى;глагол;давать приют, убежище
آي فُون;существительное;айфон
آية;существительное;знак, знамение
أ;частица;а; ли
أب;существительное;отец
أباح;глагол;позволять, разрешать
أباد;глагол;истреблять, уничтожать
أباطيل;существительное;мн. ч. вздор, небылицы
أبان;глагол;разъяснять, показывать
أبتر;прилагательное;бездетный
أبجدية;существительное;алфавит
أبجديّة;существительное;алфавит, азбука
أبخازيا;не указано;Абхазия
أبد;существительное;вечность
أبدال;существительное;абдал
أبدع;глагол;творить, создавать
أبدى;прилагательное;выявлять
أبديّة;существительное;вечность, бесконечность
أبر;глагол;жалить
أبرام;существительное;утверждение; ратификация
أبرد;существительное;отправлять по почте
أبرز;глагол;показывать, демонстрировать
أبرق;глагол;сверкать
أبرم;глагол;крутить, вить
أبرهة;существительное;Абраха
أبصر;глагол;видеть, увидеть
أبطأ;глагол;замедлять, задерживать
أبطل;глагол;отменять, аннулировать; расторгать
أبعد;прилагательное;дальнейший
أبق;глагол;убегать
أبقى;глагол;оставлять
أبكم;прилагательное;немой
أبكى;глагол;заставлять плакать, доводить до слёз
أبلس;глагол;поступать, как дьявол
أبلغ;глагол;сообщать, уведомлять, извещать
أبلق;существительное;орнитол. каменка обыкновенная
أبه;глагол;придавать значение
أبها;существительное;геогр. Абха
أبو تراب;существительное;Абутураб
أبو سعن;топоним;марабу
أبو ظبي;существительное;Абу-Даби
أبو لهب;существительное;Абулахаб
أبوئ;прилагательное;отцовский; отеческий
أبواء;существительное;Абва
أبوالقاسم;существительное;Абулькасим
أبوة;существительное;отцовство
أبوّة;существительное;отцовство
أبوظبي;существительное;Абу-Даби
أبونيه;существительное;абонемент
أبى;глагол;не желать, не хотеть
أبىّ;прилагательное;гордый; надменный
أبيب;существительное;абиб (11-й коптский месяц)
أبيدوس;существительное;Абидос
أبيض;прилагательное;белый
أتاح;глагол;давать, предоставлять
أتر برديش;топоним;Уттар-Прадеш
أترج;существительное;цитроны
أترجة;существительное;цитрон
أتعاب;существительное;мн. ч. гонорар
أتعب;глагол;утомлять
أتقن;глагол;владеть в совершенстве; делать отлично
أتلف;глагол;портить, губить; уничтожать
أتمّ;глагол;завершать, заканчивать
أتهم;глагол;обвинять
أتى;глагол;приходить, прибывать, являться
أثاث;существительное;мебель, обстановка
أثار;глагол;волновать, возбуждать
أثارة;существительное;рассказ
أثبت;глагол;подтверждать, доказывать; устанавливать
أثر;существительное;передавать
أثّر;глагол;влиять, воздействовать
أثرة;существительное;эгоизм
أثرى;глагол;богатеть, обогащаться
أثرىّ;существительное;археологический
أثري;существительное;археолог
أثقل;глагол;обременять, отягощать
أثل;существительное;укореняться, экономить
أثم;глагол;грешить
أثمر;глагол;плодоносить, приносить плоды
أثناء;предлог;во время; в течение
أثنى;глагол;хвалить, восхвалять
أثير;существительное;эфир
أثيل;прилагательное;древний
أثيم;существительное;грешник
أج;глагол;гореть
أجاب;глагол;отвечать (на вопрос)
أجابة;существительное;ответ
أجاج;существительное;рапа
أجاد;глагол;делать хорошо; быть искусным, умелым
أجاز;глагол;позволять, разрешать
أجاص;существительное;груша
أجبر;глагол;обязывать, принуждать
أجج;глагол;разжигать
أجحف;глагол;причинять вред, наносить ущерб
أجدّ;глагол;проявлять старание, усердие
أجدى;глагол;приносить пользу, выгоду
أجذم;существительное;прокажённый
أجر;существительное;вознаграждать
أجّر;глагол;сдавать внаём, в аренду
أجرم;глагол;совершать преступление
أجرومية;существительное;грамматика
أجرى;глагол;совершать, выполнять; проводить
أجل;существительное;срок, предел
أجلّ;глагол;оказывать почёт, уважение
أجّل;глагол;откладывать, отсрочивать
أجم;прилагательное;давать отдых
أجمة;существительное;чаща, заросли; джунгли
أجمع;глагол;решать, соглашаться
أجمل;глагол;подводить итоги, суммировать
أجنبي;существительное;иностранец
أجهد;глагол;напрягать силы, стараться изо всех сил
أجهز;глагол;добивать, приканчивать
أجهش;глагол;всхлипывать
أجير;существительное;наёмный работник, батрак
أحاط;глагол;окружать
أحال;глагол;передавать
أحبّ;глагол;любить
أحبط;глагол;срывать, расстраивать, разрушать
أحبولة;существительное;петля, ловушка
أحجز;глагол;отправляться в Хиджаз
أحجم;глагол;отказываться
أحجية;существительное;головоломка
أحد;глагол;объединять
أحد عشر;числительное;одиннадцать
أحدب;прилагательное;горбатый, сгорбленный
أحدث;глагол;вызывать, порождать
أحدق;глагол;окружать
أحرج;глагол;ставить в тупик
أحرز;глагол;достигать, добиваться; получать
أحرق;глагол;жечь, сжигать
أحرى;прилагательное;более достойный; предпочтительный
أحزن;глагол;опечаливать, огорчать
أحس;глагол;чувствовать
أحساء;существительное;звук воды под землёй
أحسب;существительное;альбинос
أحسن;прилагательное;наилучший
أحشّ;глагол;чувствовать, ощущать
أحصى;глагол;считать, исчислять
أحضر;глагол;доставлять; приводить
أحفور;существительное;ископаемое
أحقّيّة;существительное;законность, справедливость
أحكم;глагол;делать прочно, крепко
أحلّ;глагол;допускать, разрешать
أحلى;прилагательное;сладчайший, милейший
أحمد;существительное;Ахмад («похвальный»)
أحمدى;прилагательное;мусульманский
أحمر;прилагательное;красный
أحمر الشفاه;топоним;губная помада
أحمق;прилагательное;глупый
أحنى;глагол;сгибать; наклонять, склонять
أحول;прилагательное;косоглазый
أحيا;глагол;оживлять; возрождать
أحيقار;существительное;Ахикар
أخ;существительное;брат
أخّاذ;прилагательное;захватывающий, увлекательный, занимательный
أخاف;глагол;пугать, устрашать
أخبر;глагол;сообщать, извещать, информировать
أخت;существительное;сестра (дочь тех же родителей)
أخجل;глагол;стыдить; конфузить
أخذ;глагол;брать; принимать, получать
أخر;глагол;отодвигать назад
أخّر;глагол;откладывать, отсрочивать; задерживать
أخرج;глагол;вынимать, вытаскивать
أخرس;прилагательное;немой
أخروى;прилагательное;потусторонний
أخضر;прилагательное;зелёный
أخضع;глагол;подчинять, покорять
أخطأ;глагол;ошибаться
أخطبوط;существительное;зоол. осьминог
أخفق;глагол;терпеть неудачу, не иметь успеха
أخفى;глагол;скрывать, прятать
أخلّ;глагол;нарушать, не исполнять
أخلاق;существительное;мораль
أخلاقىّ;прилагательное;нравственный, моральный
أخلاقية;существительное;нравственность
أخلص;глагол;быть искренним, быть преданным
أخلى;глагол;освобождать, очищать (дорогу)
أخمد;глагол;тушить, гасить
