август;август (аналогично русскому слову)
агъу;яд, отрава
адам;человек
азаддеш;свобода
аллагь;бог
аргъ;цена
аргъ-берхӀи;погода
арифметика;арифметика (аналогично русскому слову)
арслан;зоол. лев (Panthera leo)
архитектор;архитектор
архӀя;шёлк
арцан;зоол. птица
атмосфера;атмосфера
ашна;друг
баз;баз (аналогично русскому слову)
бай;луг; лужайка
байдарни;поцелуй
балга;глоток
банкир;банкир
бархӀи;день
батдеш;свобода
бебкӀа;смерть
бекӀ;анат. голова
БерхӀи;Солнце
бетихъахъес;терять
бецӀ;зоол. волк (Canis lupus)
билхӀла;болото
биолог;биолог (аналогично русскому слову)
бунагь;религ. грех
бухъала;трава
бухъутӏа;жёлтый
бялихъ;рыба
бятӏ;орнитол. утка
валликьяна;друг
варъа;мёд
васвасъала;сомнение
васият;юр. завещание
ваца;зоол. мышь (mus)
вацӀа;лес
вачар;торговля
вертолёт;вертолёт
вяхӀ;анат. лицо (передняя часть головы)
гайка;техн. гайка
галга;дерево (растение)
гидгари;яйцо
гитара;муз. гитара
гу;яма, котлован
гулвава;ботан. фиалка
гуми;мост
гурда;зоол. лиса, лисица (vulpes)
гурде;рубаха, рубашка
гъагул;облако
гъай;слово
гъалбецӀ;зоол. лев (Panthera leo)
гъум;песок
гьалмагъ;друг
гьунгела;подарок
гӏебшни;осень
гӏинц;яблоко (плод яблони)
гӀядат;обычай
гӏянд;узел
Гӏянжи-Къала;Махачкала
гӀярш;космос
гӀятӀа;зоол. лягушка
даглизиб;вчера
дергъ;война
держ;выпивка
дин;религия; вероисповедание
дис;нож
документ;документ (аналогично русскому слову)
дубси;хим. медь
дуги;ночь
дудеш;отец, папа
дуз;лес
дукала;анат. крыло
дукаркӏес;смеяться
дургъби;война
дурхӀя;сын
дуцӀрум;лето
дявти;война
дягӀ;ветер
дяхӀи;снег
дяхӀибала;молитва
дяхӀимцӀала;зеркало
жаваб;ответ
жагьил;молодой
жаназа;труп; останки; покойник
жанивар;зоол. волк (Canis lupus)
жасмин;ботан. жасмин
жугьутӏ;еврей
жумягӀ;неделя
зайтун;ботан. олива, маслина
замана;время (определённый отрезок времени)
зе;внук по дочери, племянник по сестре
зугьаси;большой
зулму;насилие
идбаг;пророк
изес;доить
иззала;боль
имиала;муравей
имтихӀян;экзамен
инсан;человек
инсаният;человечество
ишбархӏи;сегодня
кабц;анат. кожа
кагъар;бумага
капитализм;капитализм
капиталист;капиталист (аналогично русскому слову)
кахдеш;страх
кираж;известь
кирпич;кирпич
комедия;комедия
комитет;комитет
коммунизм;полит. коммунизм (аналогично русскому слову)
коммунист;коммунист (аналогично русскому слову)
компас;компас
консерватория;консерватория (аналогично русскому слову)
конституция;конституция (аналогично русскому слову)
конференция;конференция
корреспондент;корреспондент, репортёр
ксенон;хим. ксенон
къабулдан;зоол. бабочка, мотылёк
къаз;орнитол. гусь (Anser)
къалай;хим. олово
къаркъа;камень
къяна;зоол. ворона (Corvus)
къянкъ;нос
кьада;ботан. кустарник
кьадар;судьба
кьакьа;улица
кьалтин;ковёр
кьанцӀ;уксус
кьар;трава
кьацӀ;хлеб
кьиблама;компас
кьисас;месть
кьисмат;судьба
кьукьа;анат. колено
кьулса;железная ложка
кьуна;пыль
кьурч;персик (плод)
кьяйда;способ
кьяш;анат. нога
кӏав;геогр. озеро
кӀаз;шёлк
кӀапӀи;страница
кӀатӀруч;ложка
кӀел;два
кӀентӀ;анат. губа
кӀуцӀул;ложка
лами;лестница; стремянка
лац;сургуч
лезми;язык (мышечный орган)
Приложение:лингвистическая справка/Даргинский язык;---
лихӀи;ухо
логика;логика
маргамуш;хим. мышьяк
материализм;филос. материализм
маяк;маяк (1)
маятник;маятник
мегь;месяц
мез;анат. язык (мышечный орган)
меридиан;геогр. меридиан
механика;физ. механика
миз;язык (мышечный орган)
микроскоп;микроскоп
миллиметр;миллиметр
миллион;миллион (аналогично русскому слову)
милякъ;зоол. червь, червяк
минкь;слово
мирхъи;энтомол. пчела
мицӀираг;животное
миъ;лёд
мода;земля, почва, грунт
мозаика;мозаика
молекула;хим. молекула
монастырь;религ. монастырь
мугӀяллим;учитель
мургьи;золото
мурул;мужчина, муж
мусти;вино
мухбир;корреспондент, репортёр
муцари;архит. стена
муцӏрус;нож
мышьяк;хим. мышьяк
Мяхӏячкъала;Махачкала
насиб;доля
ниъ;молоко
нотариус;нотариус
нуни;я
нуси;сыр
нуша;мы
някъ;анат. рука
окунь;ихтиол. окунь (аналогично русскому слову)
орхидея;ботан. орхидея
пачалихъ;государство
пешкеш;подарок
писатель;писатель
помидор;ботан. помидор (аналогично русскому слову), томат (растение, Solanum lycopersicum)
посол;дипл. посол
пургъум;карета
пяспясаг;зоол. лягушка
ранг;ранг
революционер;революционер
ресторан;ресторан
рузи;сестра (дочь тех же родителей)
рурси;дочь
савгъат;подарок
садап;перламутр
селра;никто
синка;зоол. медведь (Ursus)
сиргьа;циркуль
социализм;полит. социализм (аналогично русскому слову)
социология;социология
суал;вопрос
сугъат;известь
сягӀят;час
сяхӀбат;праздник
табтар;книга
таракан;энтомол. таракан (аналогично русскому слову)
тарих;история
ташмиш;сомнение
телеграмма;телеграмма
температура;температура
теория;теория
тепловоз;тепловоз
тигр;зоол. тигр (аналогично русскому слову)
токарь;токарь
тонна;тонна
тюльпан;ботан. тюльпан (1), цветок или растение
тяниш;друг
тӀабигӀят;природа
тӀама;голос
тӏул;май
узи;брат
улгни;молитва
улкьай;окно
уммай;поцелуй
умхьу;ключ
урги;стрела
ургуба;поле
урехи;страх
уркӏи;анат. сердце
уртахъ;друг
урухтус;трус
урши;сын
фагот;муз. фагот
фельдмаршал;военн. фельдмаршал
футбол;спорт. футбол
халаси;большой
химик;химик
хрусталь;хрусталь
хусбашан;зоол. змея (serpens)
хъалибарг;семья
хъалч;крыша
хъисихъар;зоол. паук
хъисхъа;зоол. паук
хьунул;женщина
хя;зоол. собака
хяса;пыль
хӀеб;весна
хӀи;кровь
хӀули;глаз
хӏунтӏена;красный
хӀуррият;свобода
хӀябмузан;геометр. треугольник
хӀяйван;животное
хӀянтӀа;зоол. паук
циркуль;циркуль
цула;анат. зуб
цӏа;комната
цӀедеш;ягода
цӀелдан;стрела
цӏика;зоол. блоха (Pulex)
цӀуба;белый
цӀудара;чёрный
цӀулхӀе;хлеб
цӀябранг;чёрный
чакар;сахар
челябкьла;будущее
чертёж;чертёж (аналогично русскому слову)
чилра;никто
чягъир;вино
чӀака;зоол. орёл (Aquila)
чӀичӀала;зоол. змея (serpens)
шагьар;город
шали-лига;анат. ребро
шара;рисунок
шин;год
шиниша;зелёный
электрод;эл.-техн. электрод
эмхӀе;зоол. осёл, ишак (Equus asinus asinus)
ялкан;парус
яни;зима
