آئورت;существительное;анат. аорта
آب;существительное;вода
آباژور;существительное;абажур
آبتین;существительное;Абтин
آبجو;существительное;пиво
آبخاز;существительное;Абхазия
آبدست;существительное;омовение перед молитвой
آبرو;существительное;лицо
آبزیدان;существительное;аквариум
آبستنی;существительное;физиол. беременность
آبگونه;существительное;жидкость
آبونه;существительное;абонент
آبی;прилагательное;синий
آپاندیس;существительное;анат. аппендикс (червеобразный отросток слепой кишки)
آتش;существительное;огонь, пламя
آتش‌فشان;существительное;вулкан
آتیه;существительное;будущее
آثروان;существительное;жрец
آجيدن;глагол;прокалывать
آجیل;существительное;орех
آدرس;существительное;адрес
آدم;существительное;человек
آدم برفی;топоним;снеговик, снежная баба
آدمخوار;существительное;людоед
آدم‌خواری;существительное;каннибализм
آدم‌کشی;существительное;убийство
آدیغیه;существительное;Адыгея
آدینه;существительное;пятница
آذر;существительное;азар (месяц)
آذرباد;существительное;Азурбад
آذربایجان;существительное;Азербайджан
آذربایجانی;прилагательное;азербайджанский
آذرفرنبغ;существительное;Адурфарнбаг
آرارات;существительное;Арарат (гора)
آراستن;глагол;украшать
آرخانگلسک;существительное;Архангельск
آرد;существительное;мука́
آرژانتین;существительное;Аргентина
آرشیو;существительное;архив
آرمان;существительное;идеал
آرمین;существительное;Армин
آرنج;существительное;анат. локоть
آروناچال پرادش;существительное;Аруначал-Прадеш
آریایی;прилагательное;арийский
آزاد;прилагательное;свободный
آزادی;существительное;независимость
آزادی بیان;топоним;юр. свобода слова
آزرمی‌دخت;существительное;Азармедохт
آزمایشگاه;существительное;лаборатория
آزمون;существительное;экзамен
آژانس;существительное;агентство
آسانسور;существительное;лифт
آستان;существительное;порог, вход, преддверие
آستراخان;существительное;Астрахань
آستین;существительное;рукав (деталь одежды)
آسم;существительное;мед. астма
آسمان;существительное;небо
آسیاب;существительное;мельница
آسیابان;существительное;мельник
آسیب;существительное;вред, ущерб
آسیب‌پذیری;существительное;уязвимость
آشپزخانه;существительное;кухня
آشتی;существительное;примирение
آشنا;существительное;друг
آشور;существительное;Ассирия
آغاز;существительное;начало
آغازیدن;глагол;начинать
آفتاب;существительное;солнце
آفتاب‌گردان;существительное;ботан. подсолнечник; подсолнух
آفتابی;прилагательное;солнечный
آفریقای جنوبی;топоним;Южно-Африканская Республика
آکواریوم;существительное;аквариум
آلبانی;существительное;Албания
آلرژی;существительное;мед. аллергия
آلمان;существительное;Германия
آلمان شرقی;топоним;Восточная Германия
آلو;существительное;картофель
آلومینیم;существительное;хим.алюминий
آمباسادور;существительное;дипл. посол
آمدن;глагол;приходить, прибывать
آمریکای لاتین;топоним;Латинская Америка
آمریکایی;прилагательное;американский
آموختن;глагол;учить, изучать
آموزگار;существительное;учитель
آمیختن;глагол;смешивать
آناتولی;существительное;Анатолий
آناتومی;существительное;анатомия
آناناس;существительное;ботан. ананас
آناهیتا;существительное;Анахита
آنتروپی;существительное;физ. энтропия
آنتلوپ;существительное;зоол. антилопа
آنتیگوا و باربودا;топоним;Антигуа и Барбуда
آندورا;существительное;Андорра
آنها;местоимение;они
آهن;существительное;железо (химический элемент и металл)
آهنربا;существительное;физ. магнит
آهنگ;существительное;мелодия
آهنگر;существительное;кузнец
آهنگر‌خانه;существительное;кузница
آهنگساز;существительное;композитор
آهو;существительное;антилопа
آواشناسی;существительное;лингв. фонетика
آوردن;глагол;приносить
آوریل;существительное;апрель
آویختن;глагол;вешать
آویشن;существительное;ботан. тимьян
آیت‌الله;существительное;аятолла
آی‌فون;существительное;айфон
آینده;существительное;будущее
آیینه;существительное;зеркало
إسرائيل;существительное;Израиль
ا;глагол;звательный суффикс
ائوترپه;существительное;мифол. Эвтерпа (муза лирической поэзии и музыки)
ابابیل;существительное;орнитол. ласточка (Hirundo)
ابتدا;существительное;начало
ابتدائی;прилагательное;начальный
ابد;существительное;вечность
ابدی;прилагательное;вечный
ابر;существительное;облако
ابریشم;существительное;шёлк
ابزار;существительное;пряность, специя, приправа
ابله;существительное;глупец, дурак
ابن خردادبه;существительное;Ибн Хордадбех
ابن مقفع;существительное;Ибн Мукаффа
ابوا;существительное;муз. гобой
ابوالقاسم;существительное;Абулькасим
ابوالقاسمی;существительное;Абулькасими
ابوتراب;существительное;Абутораб
