آرام سمندر;топоним;Тихий океан
آيرلېنډ;существительное;Ирландия
آيوډين;существительное;хим. иод (йод)
اپريل;существительное;апрель
اتريش;существительное;Австрия
اتل;существительное;чемпион
اتلانتيک سمندر;топоним;Атлантический океан
اتم;числительное;восьмой
اته;числительное;восемь
اتوب;не указано;соус
اتيزم;существительное;филос. атеизм
احساس;существительное;чувство
ارسېنک;существительное;хим. мышьяк
ارمغان;существительное;подарок
اروپا;существительное;геогр. Европа
ازربايجان;существительное;Азербайджан
اړول;глагол;изменять, менять
اسپانيا;существительное;Испания
اسپه;существительное;зоол. кобыла
استانبول;существительное;Стамбул
اسرايل;существительное;Израиль
اسمان;существительное;небо
اسمايي;прилагательное;синий
افغانستان;существительное;геогр. Афганистан
اکتوبر;существительное;октябрь
اګست;существительное;август
الوتل;глагол;летать
امام;существительное;религ. имам
امريکايی;прилагательное;американский
انډاره;существительное;анат. кишка
انډورا;существительное;рекомендации
انسان;существительное;человек
انسولين;существительное;биохим. инсулин
او;местоимение;и
اوبه;существительное;вода
اوڅنډی;существительное;геометр. семиугольник, гептагон
اوريځ;существительное;облако
اوړۍ;существительное;лето
اوښ;существительное;зоол. верблюд
اوکراین;существительное;Украина
اونۍ;существительное;неделя
اووه;числительное;семь
اووه لس;числительное;семнадцать
ايداد;существительное;наказание
ایتوپیا;существительное;Эфиопия
اېږه;существительное;зоол. медведь (Ursus)
اېسټروجن;существительное;биохим. эстроген
باب;существительное;дверь
بابا;существительное;папа, отец
باباجی;существительное;дед
بابازی;существительное;бабази (подразделение момандов)
بابت;существительное;вопрос
بابر;существительное;лев
بابو;существительное;чиновник
بابولاله;существительное;свадебное причитание, заплачка
باتور;существительное;богатырь
باتينګر;существительное;ботан. помидор, томат (растение, Solanum lycopersicum)
باټ;существительное;оселок
باټول;глагол;точить
باج;существительное;дань
باجګير;существительное;сборщик дани
باجوړ;существительное;Баджаур
باچا;существительное;царь
باچهی;существительное;королевство
باختر;существительное;Бактрия
باد;существительное;ветер
بادرنګ;существительное;огурец
بادشاه;существительное;падишах
بادغيس;существительное;Бадгис
بار;существительное;есть, имеется, существует
باران;существительное;дождь
باربېليزه;прилагательное;незамужняя
بارخو;существительное;щека
بارول;глагол;грузить
باز;существительное;зоол. орёл (Aquila)
بازو;существительное;анат. рука
بازی;существительное;игра
باښه;существительное;орнитол. сокол
بايسکل;существительное;велосипед
بحث کول;топоним;спорить, дискутировать
بخشش;существительное;подарок
بد;существительное;бубон
بدر;существительное;ватное дерево
بدلول;глагол;изменять, менять
بدمخی;прилагательное;невежливый, недружественный
بدن;существительное;тело
برق;существительное;физ. электричество
برېت;существительное;усы
بزغاله;существительное;энтомол. пчела
بشر;существительное;человек, тело
بطلان;существительное;тщеславие
بلجيم;существительное;Бельгия
بلۍ;существительное;крыша
بوټپوهنه;существительное;ботаника
بورا;существительное;энтомол. шмель (Bombus Latreille)
بوره;существительное;сахар
بير;существительное;пиво
بيزو;существительное;зоол. обезьяна
بېلاروس;существительное;Белоруссия
پاسپورټ;существительное;паспорт
پاکستان;существительное;Пакистан
پانگوالي;существительное;капитализм
پاڼه;существительное;ботан. лист
پاڼوځی;существительное;книжная лавка, книжный магазин
پتخه;существительное;орнитол. утка
پتنګ;существительное;зоол. бабочка, мотылёк
پخلوځی;существительное;кухня
پخلېځی;существительное;кухня
پرتګال;существительное;Португалия
پرتوګ;существительное;штаны
پرون;наречие;вчера
پريښته;существительное;религ. ангел
پړانګ;существительное;тигр
پسرلۍ;существительное;весна
پښه;существительное;анат. нога
پل;существительное;мост
پلاتين;существительное;хим. платина
پلار;существительное;отец, папа
پلازمېنه;существительное;столица
پلورتون;существительное;рынок
پلورځی;существительное;магазин
پلورل;глагол;продавать
پنجسنبه;существительное;четверг
پنځم;числительное;пятый
پنځه;числительное;пять
پنځوسم;числительное;пятидесятый
پنسلوانیا;существительное;Пенсильвания
پنير;существительное;сыр
پوتاشيم;существительное;хим. калий
پوزه;существительное;нос
پوښتنه;существительное;вопрос
پولاد;существительное;сталь
پولنډ;существительное;Польша
پونده;существительное;анат. пятка, пята
پوهنتون;существительное;университет
پوهېدل;глагол;понимать
پيرو;существительное;геогр. Перу
پيسې;существительное;деньги
پيشو;не указано;кошка
پيل;существительное;слон
پېشکش;существительное;подарок
تاجکستان;существительное;Таджикистан
تارتوک;существительное;подарок
تارو;существительное;зоол. бабочка, мотылёк
تايلنډ;существительное;Таиланд
تبرګۍ;существительное;топор
تبی;существительное;соус
تحفه;существительное;подарок
تود;прилагательное;тёплый
تودښت;существительное;температура
توده;существительное;тёплый, горячий
تودوخه;существительное;температура
تور;существительное;чёрный
ټاپو;существительное;остров
ټکسي;существительное;такси
ټکنالوجي;существительное;технология
ټولنپوهنه;существительное;социология
ټولنه;не указано;общество
جاهلی;существительное;невежество
جر;существительное;вода
جزيره نما;существительное;полуостров
جګړه;существительное;война
جلنانۍ;не указано;кухня
جمايکا;существительное;Ямайка
جمهوريت;существительное;республика
جنګل;существительное;лес
جنوري;существительное;январь
جهيل;существительное;геогр. озеро
جولاي;существительное;июль
جون;существительное;июнь
چارځی;существительное;завод
چارسنبه ؛ چارشنبې;существительное;среда (день недели)
چاړه;существительное;нож
چاکو;существительное;нож
