آئرلینڈ;существительное;Ирландия
آئنسٹائنیئم;существительное;хим. химический элемент с атомным номером 99, обозначается химическим символом Es, радиоактивный металл из группы трансурановых актиноидов
آئون;существительное;хим. ион
آئین;существительное;конституция
آئینہ;существительное;зеркало
آب;существительное;вода
آبادی;существительное;население
آبنائے باب المندب;топоним;Баб-эль-Мандебский пролив
آتش;существительное;огонь, пламя
آٹھ;числительное;восемь
آٹھواں;числительное;восьмой
آج;наречие;сегодня
آذربائیجان;существительное;Азербайджан
آرخانگلسک;существительное;Архангельск
آرمینیا;существительное;Армения
آڑو;существительное;персик (плод)
آسٹریلیشیا;существительное;Австралазия
آسمان;существительное;небо
آشا;существительное;надежда
آفتاب;существительное;солнце
آکاش;существительное;небо
آگ;существительное;огонь
آلو;существительное;картофель
آنت;существительное;анат. кишка
آنسو;существительное;слеза
آنکھ;существительное;глаз
آیوڈین;существительное;хим. иод (йод)
ئادىگېيە;существительное;Адыгея
ابرو;существительное;бровь
اپرادھ;существительное;юр. преступление
اپریل;существительное;апрель
اتر;существительное;ответ
اتہاس;существительное;история
اٹھارہ;числительное;восемнадцать
اخبار;существительное;газета
ادر;существительное;зоол. выдра (Lutra)
ادرک;существительное;имбирь
ادھیاپاک;существительное;учитель
ادوالا;существительное;Уддевалла
ارتقاء;существительное;эволюция
ارکیٹیکٹ;существительное;архитектор
اڑنا;глагол;летать
اسپات;существительное;сталь
استرا;существительное;бритва
استری;существительное;женщина
استھ;существительное;кость
استوائی گنی;топоним;Экваториальная Гвинея
اسرائیل;существительное;Израиль
اسلامی;прилагательное;религ. исламский
اسم;существительное;грам. имя существительное, существительное
اسماکیات;существительное;научн. ихтиология
اسمبھو;прилагательное;невозможный
اسی;числительное;восемьдесят
اصم;существительное;матем. корень (алгебраическая операция, функция)
افغانستان;существительное;геогр. Афганистан
افلاق;существительное;Валахия
اکاؤنٹنٹ;существительное;бухгалтер
اکتوبر;существительное;октябрь
اگست;существительное;август
الرجی;существительное;мед. аллергия
الو;существительное;орнитол. сова
امام;существительное;религ. имам
اماں;существительное;мама
امید;существительное;надежда
امیر;прилагательное;богатый,  состоятельный
اناتھ;существительное;сирота
انتظار;существительное;ожидание (действие)
اندرا;существительное;бессонница
اندھا;прилагательное;слепой, незрячий
اندھیرا;прилагательное;тёмный
انڈا;существительное;яйцо
انڈیا;существительное;Индия
انسان;существительное;человек
انفصام;существительное;психиатр. шизофрения
انگریزی;прилагательное;английский
انگلی;существительное;анат. палец
انیس;числительное;девятнадцать
اهنسا;существительное;безвредность, безобидность
اور;союз;и
اوزون;существительное;хим. озон
اولمپکس;существительное;спорт. Олимпийские игры
اُونٹ;существительное;зоол. верблюд
ایڑی;существительное;анат. пятка, пята
ایسڈ;существительное;хим. кислота
ایک;числительное;один
اینٹ;существительное;кирпич
بائیسکل;существительное;велосипед
بابا;существительное;папа, отец
بابل;существительное;Вавилон
بابو;существительное;чиновник
باپ;существительное;отец, папа
بات;существительное;речь, язык, слово, разговор
باٹ;существительное;дорога
باد;существительное;ветер
بادل;существительное;облако
باران;существительное;дождь
بارش;существительное;метеорол. дождь
باره;существительное;двенадцать
بارود;существительное;порох
بازار;существительное;рынок
بازو;существительное;анат. рука
بازوبند;существительное;браслет
باغبان;существительное;садовник
بانس;существительное;ботан. бамбук
بانسری;существительное;муз. флейта
بپ;существительное;отец
بتیا;существительное;ботан. баклажан
بجلی;существительное;физ. электричество
بَجّو;существительное;зоол. барсук (Meles meles)
بچپن;существительное;детство
بچھو;существительное;зоол. скорпион
بچھیا;существительное;телёнок
بحر الکاہل;топоним;Тихий океан
بحر اوقیانوس;топоним;Атлантический океан
بحر منجمد شمالی;топоним;Северный Ледовитый океан
بحر ہند;топоним;Индийский океан
بحری حیاتیات;топоним;биология океана
بحیرہ ایڈریاٹک;топоним;Адриатическое море
بحیرہ ایونی;топоним;Ионическое море
بحیرہ روم;топоним;Средиземное море
بحیرہ سارگاسو;топоним;Саргассово море
بحیرہ قزوین;топоним;Каспийское море
بحیرہ کریبین;топоним;Карибское море
بد;существительное;бубон
بدن;существительное;тело
بدھ;существительное;среда (день недели)
بدھ مت;существительное;буддизм
بڈھ بیر;существительное;Бадабер
بڈھا;существительное;старик
برش;существительное;щётка
برشلونہ;существительное;Барселона
برق;существительное;физ. электричество
برقیرہ;существительное;эл.-техн. электрод
